Sports & Leisure: What New York Yankees captain died when he crashed his plane short of the runway?|Thurman Munson
Science & Nature: What insect is known for being a carrier of malaria, encephalitis, yellow fever and dengue fever?|mosquitos
Science & Nature: Which part of your body accounts for one quarter of the bones your body contains?|your feet
Science & Nature: What does a person with hexidectylism have?|six fingers or six toes
Geography: What country's name is a Native American Indian word meaning 'Big Village'?|Canada
Geography: Over which waterfall does the most water flow over per year?|Niagara Falls
Geography: Which large island is 3 times the size of Texas?|Greenland
Geography: Which county in Great Britain is the only one that has 2 coasts?|Devon
Geography: Which ocean is the smallest and shallowest?|Artic Ocean
Geography: Which ocean is saltier, the Pacific or the Atlantic?|Atlantic Ocean
Geography: What name was the city of St. Petersburg, Russia given in 1914 because Russian leaders thought it's name sounded too German?|Petrograd
Geography: What name was the city of St. Petersburg, Russia given in 1924 to honor the founder of the Soviet Union?|Petrograd
Geography: What country's national flag is flown differently depending on if the country is at war or at peace?|Philippines
Geography: What is the highest mountain range in the world?|The Himilayas
Geography: What body of water does the river Danube empty into?|The Black Sea
Geography: Rome was originally built on how many hills?|seven
Geography: What group of islands boasts the 'wettest spot on Earth' because of the rainfall there?|The Hawaiian Islands
Geography: Name the world's smallest independant state.|Vatican City
History: What is the name of the largest building from ancient Rome that survives intact?|The Pantheon
Literature: Who or what was the only one to recognize Odysseus when he arrived home after an absence of 20 years?|his dog, Argus
Literature: What famous ancient Greek author wrote about the epic journey of Odysseus?|Homer
UnitedStates: Which US state has 8 national park sites?|Alaska
UnitedStates: Which is larger, the island of Manhattan in New York or Disney World in Orlando, Florida?|Disney World in Orlando, Florida
UnitedStates: Which state is the only one whose name has only one syllable?|Maine
UnitedStates: Which of Michigan's 'Great Lakes' lies entirely inside the United States?|Lake Michigan
UnitedStates: What is the most important inland waterway in North America?|The Great Lakes
Science & Nature: A zebra is which:  black with white stripes or white with black stripes?|white with black stripes
Science & Nature: What animal produces the loudest sound of any animal on Earth?|the blue whale can whistle at 188 decibels
Science & Nature: Which animal, cat or dog, has the most vocal sounds?|Cats, with over 100
Science & Nature: What gossamer-winged insect is the fastest flying of all the insects?|Dragonflies
Science & Nature: How many worker bees would have to spend their lifetime to produce 1 teaspoon of honey?|12
Science & Nature: Which do mosquitos prefer, brunettes or blonds?|blonds
Science & Nature: Which do mosquitos prefer, children or adults?|children
Science & Nature: What part of the mosquito does citronella bother the most?|their feet
Science & Nature: Herbivorous means only plants are eaten for food.  What word means anything is eaten for food?|omnivorous
Science & Nature: What is the world's largest living bird?|adult male ostrich
Sports & Leisure*G*: What profession is troubled by the most workplace violence?|Police officers
Music: How did Kurt Cobain announce The Meat Puppets on Nirvana's "Unplugged in New York?|Thing 1 and Thing 2
Music: Who were the guest artists in Nirvana's "Unplugged in New York?|The Meat Puppets
People & Places: What are the 3 best-known western personages in China?|Jesus Christ, Richard Nixon and Elvis Presley
History: What was the name of the B-29 bomber that dropped the Atom Bomb on Nagasaki?|Bock's Car
Science & Nature: Which takes more muscles to do, frowning or smiling?|frowning
Science & Nature: What is the body's largest internal organ?|small intestine
Language: What do you study if you are studying entomology?|entomology is the study of insects
Language: If you study etymology, what are you studying?|word origins
Geography: Name one of the "Great Lakes" that surround Michigan.|Michigan, Huron, Erie or Superior
Geography: Which sea lies along the western side of Holland (the Netherlands)?|North Sea
Geography: What country lies along the western side of Spain?|Portugal
Literature: Who said: "Fie Fi Fo Fum, I smell the blood of an Englishman"?|the giant in "Jack In The Beanstalk"
Weights & Measures: In kilograms, how much does one litre of water weigh?|1 Kg
Arts & Entertainment: What Lewis Carroll work offers this bit of whimsy: "All mimsy were the borogoves, and the mome raths outgrabe"?|Alice's Adventures in Wonderland
Sports & Leisure: How many of every 10 baseball players who sign pro contracts never play in a major league game?|Nine
Science & Nature: Which of the big, jungle cats is the only cat to be social rather than solitary?|The lion
Science & Nature: What type of nucleic acid carries hereditary information from generation to generation?|Deoxyribonucleic acid or DNA
Science & Nature: What substance is the largest single preventable cause of death?|Tobacco
Science & Nature: What movie had Michael Keaton playing a character loosely named after a huge star in the constellation of Orion?|Beetlejuice
History: What form of ancient writing was finally deciphered with the help of a chunk of basalt known as the Rosetta Stone?|Hieroglyphics
History: What country did Hitler's troops invade, kicking off World War II?|Poland
Science & Nature: What do American parents of infants dump 17 billion of each year?|Disposable diapers
People & Places: What state's license plates began saying 'Famous Potatoes' in 1957?|Idaho's
Science & Nature: What's an organism made from the genetic material of another commonly called?|A clone
People & Places: What tropical U.S. state has chosen the yellow hibiscus as it's state flower?|Hawaii
People & Places: What European country contains Transylvania, commonly considered to be the home of "Count Dracula"?|Romania
Science & Nature: How many bones does a shark have?|Zero
Science & Nature: What does the male Emperor Penguine balance atop his feet for two months while its mate feeds?|An egg
Science & Nature: What tracking device was the Stealth bomber designed to evade?|Radar
Science & Nature: What's the heaviest naturally-occurring element?|Uranium
Science & Nature: Which of the 9 planets in our solar system is blue and white when seen from outer space?|Earth
Literature: What poet immortalized a famous silversmith's midnight ride to warn that the British were coming?|Henry Wadsworth Longfellow
People & Places: Who was the first pilot to take off solo in New York and land in Paris?|Charles Lindbergh
Science & Nature: How many buffalo/bison roamed North America in 1492 - 600,000, 6 million or 60 million?|60 million
History: Name 1 of the 2 U.S. presidents that were assassinated while in office other than Lincoln or Kennedy?|James Garfield
People & Places: What U.S. state adopted a cactus blossom as its state flower?|Arizona
World: Which president watched the most movies in his first year at the White House?|Bill Clinton
People & Places: What city rings in the new year with a descending ball or apple?|New York
Science & Nature: What's the term for a device that uses the sun and horizon to determine location?|Sextant
Sports & Leisure: What chess piece is second in strength only to the queen?|Rook
People & Places: What fort's 1814 bombardment inspired Francis Scott Key to pen the USA's anthem's lyrics?|Fort McHenry's
Science & Nature: What bird in the heron family is named for the long feathers, or "aigrettes," grown by the male during mating season?|An egret
Science & Nature: What number is indicated by this symbol in the Greek numeral system? VII|Seven
History: Whose signature on the USA's "Declaration Of Independance" is legible from the farthest distance?|John Hancock's
History: What was the first U.S. battle cry of World War II?|Remember Pearl Harbor!
People & Places: What's the first foreign country you'd reach by traveling due south from Detroit's City Airport?|Canada
People & Places: What country found wooden shoes to be no match for German jackboots in 1940?|The Netherlands
Arts & Entertainment: What six words does 007 say when introducing himself?|The name is Bond, James Bond
Science & Nature: What does the acronym "WYSIWYG" stand for?|What you see is what you get
Science & Nature: What type of engineering sees organisms have their DNA altered to produce new substances?|Genetic engineering
Science & Nature: What Intel chip is the successor to the 80286, 80386 and 80486?|The Pentium
Science & Nature: What planet did the U.S. "Viking I" send surface images of, starting in 1976?|Mars
People & Places: What continent boasts Angel Falls, the tallest in the world?|South America
Science & Nature: What is the only mammal that can fly, and not simply glide?|The bat
History: What was the name of the B-29 that dropped the bomb on Hiroshima?|Enola Gay
People & Places: What's the name of the stately stone gate in the center of Berlin?|The Brandenburg Gate
Science & Nature: What invention did the most to discourage the practice of letter writing?|The telephone
Science & Nature: What country was proud to see Marc Garneau as it's first astronaut 1984?|Canada
Science & Nature: What industry, according to Melvin Belli, "has conspired to catch you, hold you and kill you"?|The tobacco industry
People & Places: What British political party made Margaret Thatcher its first female leader?|The Conservative (Tory) Party
Science & Nature: Which can last longer without water, a camel or a rat?|a rat
Science & Nature: Which is bigger, an ostrich's eye or it's brain?|it's eye
